timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676632481911,1732,TP PORTAL LOGIN Request,200,OK,Thread Group 1-55,text,true,,12751,246,27,27,http://10.9.0.77:5333/api/portal/login,1732,0,8
1676632482090,1557,TP PORTAL LOGIN Request,200,OK,Thread Group 1-74,text,true,,12751,246,25,25,http://10.9.0.77:5333/api/portal/login,1556,0,4
1676632481895,1757,TP PORTAL LOGIN Request,200,OK,Thread Group 1-54,text,true,,12751,246,24,24,http://10.9.0.77:5333/api/portal/login,1756,0,5
1676632482139,1514,TP PORTAL LOGIN Request,200,OK,Thread Group 1-79,text,true,,12751,246,24,24,http://10.9.0.77:5333/api/portal/login,1514,0,3
1676632482160,1495,TP PORTAL LOGIN Request,200,OK,Thread Group 1-81,text,true,,12751,246,22,22,http://10.9.0.77:5333/api/portal/login,1495,0,3
1676632482259,1397,TP PORTAL LOGIN Request,200,OK,Thread Group 1-91,text,true,,12751,246,21,21,http://10.9.0.77:5333/api/portal/login,1397,0,3
1676632482004,1653,TP PORTAL LOGIN Request,200,OK,Thread Group 1-64,text,true,,12751,246,20,20,http://10.9.0.77:5333/api/portal/login,1650,0,5
1676632482229,1429,TP PORTAL LOGIN Request,200,OK,Thread Group 1-88,text,true,,12751,246,19,19,http://10.9.0.77:5333/api/portal/login,1428,0,14
1676632482119,1540,TP PORTAL LOGIN Request,200,OK,Thread Group 1-77,text,true,,12751,246,18,18,http://10.9.0.77:5333/api/portal/login,1539,0,3
1676632482340,1320,TP PORTAL LOGIN Request,200,OK,Thread Group 1-99,text,true,,12751,246,17,17,http://10.9.0.77:5333/api/portal/login,1320,0,2
1676632482100,1562,TP PORTAL LOGIN Request,200,OK,Thread Group 1-75,text,true,,12751,246,16,16,http://10.9.0.77:5333/api/portal/login,1562,0,3
1676632481926,1737,TP PORTAL LOGIN Request,200,OK,Thread Group 1-57,text,true,,12751,246,15,15,http://10.9.0.77:5333/api/portal/login,1736,0,3
1676632482180,1485,TP PORTAL LOGIN Request,200,OK,Thread Group 1-83,text,true,,12751,246,14,14,http://10.9.0.77:5333/api/portal/login,1484,0,4
1676632482129,1536,TP PORTAL LOGIN Request,200,OK,Thread Group 1-78,text,true,,12751,246,13,13,http://10.9.0.77:5333/api/portal/login,1536,0,4
1676632481957,1709,TP PORTAL LOGIN Request,200,OK,Thread Group 1-60,text,true,,12751,246,12,12,http://10.9.0.77:5333/api/portal/login,1709,0,4
1676632481973,1695,TP PORTAL LOGIN Request,200,OK,Thread Group 1-61,text,true,,12751,246,11,11,http://10.9.0.77:5333/api/portal/login,1695,0,5
1676632482110,1595,TP PORTAL LOGIN Request,200,OK,Thread Group 1-76,text,true,,12751,246,10,10,http://10.9.0.77:5333/api/portal/login,1595,0,3
1676632482290,1417,TP PORTAL LOGIN Request,200,OK,Thread Group 1-94,text,true,,12751,246,9,9,http://10.9.0.77:5333/api/portal/login,1417,0,3
1676632482250,1465,TP PORTAL LOGIN Request,200,OK,Thread Group 1-90,text,true,,12751,246,8,8,http://10.9.0.77:5333/api/portal/login,1465,0,3
1676632482150,1566,TP PORTAL LOGIN Request,200,OK,Thread Group 1-80,text,true,,12751,246,7,7,http://10.9.0.77:5333/api/portal/login,1566,0,2
1676632482350,1471,TP PORTAL LOGIN Request,200,OK,Thread Group 1-100,text,true,,12751,246,6,6,http://10.9.0.77:5333/api/portal/login,1471,0,3
1676632482209,1615,TP PORTAL LOGIN Request,200,OK,Thread Group 1-86,text,true,,12751,246,5,5,http://10.9.0.77:5333/api/portal/login,1614,0,3
1676632482190,1635,TP PORTAL LOGIN Request,200,OK,Thread Group 1-84,text,true,,12751,246,4,4,http://10.9.0.77:5333/api/portal/login,1635,0,3
1676632482310,1516,TP PORTAL LOGIN Request,200,OK,Thread Group 1-96,text,true,,12751,246,3,3,http://10.9.0.77:5333/api/portal/login,1516,0,4
1676632482330,1497,TP PORTAL LOGIN Request,200,OK,Thread Group 1-98,text,true,,12751,246,2,2,http://10.9.0.77:5333/api/portal/login,1492,0,4
1676632482270,1561,TP PORTAL LOGIN Request,200,OK,Thread Group 1-92,text,true,,12751,246,1,1,http://10.9.0.77:5333/api/portal/login,1561,0,4
